index,category,title,description_clean,recommendation,cost_text,standard,standard_ref,severity,raw_description
2,טיח ושפכטל,סדקים בטיח חיצוני,"סדקים באורכים ובעומקים שונים בשכבת הטיח החיצוני של הבניין. סדקים אלו עלולים לאפשר חדירת מים ורטיבות לתוך המבנה, ולפגוע באיטום ובבידוד התרמי","ניקוי והרחבת הסדק, מילוי בחומר גמיש מתאים (אקרילי או פוליאורטני), וציפוי מחדש בטיח בהתאם למפרט","₪80-₪150 (למ""א)","ת""י 1415 — תקן טיח לבניינים — סדקים ברוחב מעל 0.5 מ""מ בטיח חיצוני אינם מותרים","ת""י 1415 — תקן טיח לבניינים — סדקים ברוחב מעל 0.5 מ""מ בטיח חיצוני אינם מותרים",medium,"**סדקים בטיח חיצוני** — סדקים באורכים ובעומקים שונים בשכבת הטיח החיצוני של הבניין. סדקים אלו עלולים לאפשר חדירת מים ורטיבות לתוך המבנה, ולפגוע באיטום ובבידוד התרמי.. המלצה: ניקוי והרחבת הסדק, מילוי בחומר גמיש מתאים (אקרילי או פוליאורטני), וציפוי מחדש בטיח בהתאם למפרט. עלות משוערת: ₪80-₪150 (למ""א)"
3,טיח ושפכטל,סדקים בטיח פנימי,"סדקים בטיח הפנימי של הדירה, לרוב מופיעים ליד פינות חלונות, דלתות ומשקופים. עלולים להעיד על בעיות מבניות או התכווצות של הטיח","הרחבת הסדק עד לגילוי חומר תקין, מילוי בשפכטל גמיש, הדבקת רשת טיח, טיוח מחדש והחלקה","₪50-₪120 (למ""א)","ת""י 1415 — סדקים ברוחב מעל 0.3 מ""מ בטיח פנימי אינם מותרים","ת""י 1415 — סדקים ברוחב מעל 0.3 מ""מ בטיח פנימי אינם מותרים",medium,"**סדקים בטיח פנימי** — סדקים בטיח הפנימי של הדירה, לרוב מופיעים ליד פינות חלונות, דלתות ומשקופים. עלולים להעיד על בעיות מבניות או התכווצות של הטיח.. המלצה: הרחבת הסדק עד לגילוי חומר תקין, מילוי בשפכטל גמיש, הדבקת רשת טיח, טיוח מחדש והחלקה. עלות משוערת: ₪50-₪120 (למ""א)"
4,טיח ושפכטל,נפיחות בטיח — בלון,אזורים בהם הטיח מתנפח ונפרד מהקיר (בלון טיח). בבדיקת הקשה ניתן לזהות צליל חלול. מעיד על הידבקות לקויה של שכבת הטיח למצע,"פירוק הטיח המנופח עד לגילוי מצע יציב, ניקוי והרטבת המשטח, טיוח מחדש בשכבות בהתאם למפרט","₪80-₪180 (למ""ר)","ת""י 1415 — הטיח חייב להיצמד באופן מלא למשטח הבסיס ללא חללים","ת""י 1415 — הטיח חייב להיצמד באופן מלא למשטח הבסיס ללא חללים",medium,"**נפיחות בטיח — בלון** — אזורים בהם הטיח מתנפח ונפרד מהקיר (בלון טיח). בבדיקת הקשה ניתן לזהות צליל חלול. מעיד על הידבקות לקויה של שכבת הטיח למצע.. המלצה: פירוק הטיח המנופח עד לגילוי מצע יציב, ניקוי והרטבת המשטח, טיוח מחדש בשכבות בהתאם למפרט. עלות משוערת: ₪80-₪180 (למ""ר)"
5,טיח ושפכטל,טיח מתפורר,"שכבת הטיח מתפוררת ונושרת בחלקים. מעיד על שימוש בחומר לקוי, יחס מים-מלט לא נכון, או חשיפה לתנאי מזג אוויר קיצוניים","הסרה מלאה של הטיח הפגום, הכנת המשטח מחדש כולל יישום פריימר, טיוח מחדש בחומר תקני","₪100-₪200 (למ""ר)","ת""י 1415 — חוזק הטיח צריך לעמוד בדרישות המינימום של 2.5 מגה-פסקל לטיח פנימי ו-5 מגה-פסקל לטיח חיצוני","ת""י 1415 — חוזק הטיח צריך לעמוד בדרישות המינימום של 2.5 מגה-פסקל לטיח פנימי ו-5 מגה-פסקל לטיח חיצוני",medium,"**טיח מתפורר** — שכבת הטיח מתפוררת ונושרת בחלקים. מעיד על שימוש בחומר לקוי, יחס מים-מלט לא נכון, או חשיפה לתנאי מזג אוויר קיצוניים.. המלצה: הסרה מלאה של הטיח הפגום, הכנת המשטח מחדש כולל יישום פריימר, טיוח מחדש בחומר תקני. עלות משוערת: ₪100-₪200 (למ""ר)"
6,טיח ושפכטל,חוסר מישוריות בטיח,"משטח הטיח אינו ישר ואינו חלק — נראים גלים, בליטות או שקעים. ניתן לבדוק על ידי הצמדת סרגל ישר באורך 2 מ' לקיר","החלקה מחדש של האזורים הבעייתיים על ידי הוספת שכבת טיח דקה וליטוש, או שפכטל והחלקה","₪60-₪120 (למ""ר)","ת""י 1415 — סטייה מקסימלית מותרת של 3 מ""מ לכל 2 מטר אורך בטיח פנימי רגיל, 2 מ""מ בטיח מוחלק","ת""י 1415 — סטייה מקסימלית מותרת של 3 מ""מ לכל 2 מטר אורך בטיח פנימי רגיל, 2 מ""מ בטיח מוחלק",low,"**חוסר מישוריות בטיח** — משטח הטיח אינו ישר ואינו חלק — נראים גלים, בליטות או שקעים. ניתן לבדוק על ידי הצמדת סרגל ישר באורך 2 מ' לקיר.. המלצה: החלקה מחדש של האזורים הבעייתיים על ידי הוספת שכבת טיח דקה וליטוש, או שפכטל והחלקה. עלות משוערת: ₪60-₪120 (למ""ר)"
7,טיח ושפכטל,חוסר אנכיות בטיח,קיר הטיח אינו אנכי — סטייה ממישור אנכי. ניתן לזהות על ידי בדיקה עם פלס לייזר או פלס מים,תיקון על ידי הוספת שכבת טיח מיישרת או פירוק וטיוח מחדש במקרים חמורים,"₪80-₪200 (למ""ר)","ת""י 1415 — סטייה מאנכיות מותרת של עד 5 מ""מ לכל 3 מטר גובה","ת""י 1415 — סטייה מאנכיות מותרת של עד 5 מ""מ לכל 3 מטר גובה",medium,"**חוסר אנכיות בטיח** — קיר הטיח אינו אנכי — סטייה ממישור אנכי. ניתן לזהות על ידי בדיקה עם פלס לייזר או פלס מים.. המלצה: תיקון על ידי הוספת שכבת טיח מיישרת או פירוק וטיוח מחדש במקרים חמורים. עלות משוערת: ₪80-₪200 (למ""ר)"
8,טיח ושפכטל,פינות טיח לא ישרות,פינות הקירות (זווית פנימית או חיצונית) אינן ישרות ו/או אינן בזווית 90 מעלות. בולט במיוחד בהצבת ריהוט ומטבח,"יישור הפינות באמצעות פסי פינה מתכתיים וטיוח מחדש, או תיקון נקודתי בשפכטל","₪40-₪80 (למ""א)","ת""י 1415 — סטייה מותרת של עד 3 מ""מ לכל 2 מטר אורך בפינות","ת""י 1415 — סטייה מותרת של עד 3 מ""מ לכל 2 מטר אורך בפינות",low,"**פינות טיח לא ישרות** — פינות הקירות (זווית פנימית או חיצונית) אינן ישרות ו/או אינן בזווית 90 מעלות. בולט במיוחד בהצבת ריהוט ומטבח.. המלצה: יישור הפינות באמצעות פסי פינה מתכתיים וטיוח מחדש, או תיקון נקודתי בשפכטל. עלות משוערת: ₪40-₪80 (למ""א)"
9,טיח ושפכטל,טיח חסר בשליצים ופתחים,"אזורים ללא טיח או עם טיח חלקי סביב שליצי חשמל, אינסטלציה, או פתחי חלונות ודלתות. מעיד על עבודה לא מושלמת","מילוי השליצים בטיט תיקון מתאים, יישום רשת טיח על האזור, וטיוח מלא של המשטח",₪150-₪350 (ליחידה),"ת""י 1415 — כל המשטחים חייבים להיות מכוסים בטיח באופן אחיד, כולל סביב פתחים ושליצים","ת""י 1415 — כל המשטחים חייבים להיות מכוסים בטיח באופן אחיד, כולל סביב פתחים ושליצים",medium,"**טיח חסר בשליצים ופתחים** — אזורים ללא טיח או עם טיח חלקי סביב שליצי חשמל, אינסטלציה, או פתחי חלונות ודלתות. מעיד על עבודה לא מושלמת.. המלצה: מילוי השליצים בטיט תיקון מתאים, יישום רשת טיח על האזור, וטיוח מלא של המשטח. עלות משוערת: ₪150-₪350 (ליחידה)"
10,טיח ושפכטל,רטיבות בטיח — כתמי רטיבות,"כתמי רטיבות הנראים על שכבת הטיח, לעיתים מלווים בעובש או צבע שונה. מעיד על חדירת מים מבחוץ או דליפה פנימית","איתור מקור הרטיבות ותיקונו, ייבוש הקיר, טיפול אנטי-עובשי, טיוח מחדש עם חומר עמיד ברטיבות","₪200-₪600 (למ""ר)","ת""י 1415 — טיח חיצוני חייב להוות מחסום מפני חדירת מים","ת""י 1415 — טיח חיצוני חייב להוות מחסום מפני חדירת מים",critical,"**רטיבות בטיח — כתמי רטיבות** — כתמי רטיבות הנראים על שכבת הטיח, לעיתים מלווים בעובש או צבע שונה. מעיד על חדירת מים מבחוץ או דליפה פנימית.. המלצה: איתור מקור הרטיבות ותיקונו, ייבוש הקיר, טיפול אנטי-עובשי, טיוח מחדש עם חומר עמיד ברטיבות. עלות משוערת: ₪200-₪600 (למ""ר)"
11,טיח ושפכטל,סדק אלכסוני מעל משקוף,סדק אלכסוני היוצא מפינת משקוף דלת או חלון כלפי מעלה. ליקוי נפוץ מאוד המעיד על חוסר חיזוק מתאים (רשת או קורת משקוף) באזור הפתח,"הרחבת הסדק, הדבקת רשת פיברגלס על כל אורך הסדק ומעבר, טיוח מחדש והחלקה",₪150-₪350 (ליחידה),"ת""י 1415 — יש לחזק את אזורי הפתחים ברשת טיח או חיזוק מתאים למניעת סדקים","ת""י 1415 — יש לחזק את אזורי הפתחים ברשת טיח או חיזוק מתאים למניעת סדקים",medium,"**סדק אלכסוני מעל משקוף** — סדק אלכסוני היוצא מפינת משקוף דלת או חלון כלפי מעלה. ליקוי נפוץ מאוד המעיד על חוסר חיזוק מתאים (רשת או קורת משקוף) באזור הפתח.. המלצה: הרחבת הסדק, הדבקת רשת פיברגלס על כל אורך הסדק ומעבר, טיוח מחדש והחלקה. עלות משוערת: ₪150-₪350 (ליחידה)"
12,טיח ושפכטל,סדק מפאי (שערה) בטיח תקרה,סדקים דקים (שערה) ברשת על פני שטח הטיח בתקרה. נגרמים מהתכווצות הטיח או מתזוזות מבניות קלות,"מריחת שפכטל גמיש על כל המשטח, ליטוש, וצביעה מחדש בצבע אקרילי גמיש","₪40-₪80 (למ""ר)","ת""י 1415 — סדקי שערה ברוחב עד 0.1 מ""מ נחשבים ליקוי אסתטי בלבד ואינם פוגעים בביצוע הטיח","ת""י 1415 — סדקי שערה ברוחב עד 0.1 מ""מ נחשבים ליקוי אסתטי בלבד ואינם פוגעים בביצוע הטיח",low,"**סדק מפאי (שערה) בטיח תקרה** — סדקים דקים (שערה) ברשת על פני שטח הטיח בתקרה. נגרמים מהתכווצות הטיח או מתזוזות מבניות קלות.. המלצה: מריחת שפכטל גמיש על כל המשטח, ליטוש, וצביעה מחדש בצבע אקרילי גמיש. עלות משוערת: ₪40-₪80 (למ""ר)"
13,טיח ושפכטל,טיח מזרמק — עובש על הטיח,נקודות או כתמים כהים על הטיח המעידים על נוכחות עובש. בעיה בריאותית הנובעת מרטיבות מתמשכת ואוורור לקוי,"טיפול במקור הרטיבות, ניקוי אנטי-פטרייתי, יישום ציפוי אנטי-עובשי, וצביעה בצבע עמיד ברטיבות","₪100-₪300 (למ""ר)","ת""י 1415 — טיח חייב להיות יבש ונקי מעובש","ת""י 1415 — טיח חייב להיות יבש ונקי מעובש",critical,"**טיח מזרמק — עובש על הטיח** — נקודות או כתמים כהים על הטיח המעידים על נוכחות עובש. בעיה בריאותית הנובעת מרטיבות מתמשכת ואוורור לקוי.. המלצה: טיפול במקור הרטיבות, ניקוי אנטי-פטרייתי, יישום ציפוי אנטי-עובשי, וצביעה בצבע עמיד ברטיבות. עלות משוערת: ₪100-₪300 (למ""ר)"
14,טיח ושפכטל,פני שטח טיח גסים — חוסר החלקה,פני שטח הטיח הפנימי גסים ולא חלקים כנדרש. מקשה על צביעה אחידה ופוגע במראה הסופי,"ליטוש מכני של המשטח, מריחת שכבת החלקה דקה, וליטוש סופי","₪30-₪60 (למ""ר)","ת""י 1415 — טיח פנימי מוחלק חייב להיות חלק ואחיד ללא גבשושיות או שקעים","ת""י 1415 — טיח פנימי מוחלק חייב להיות חלק ואחיד ללא גבשושיות או שקעים",low,"**פני שטח טיח גסים — חוסר החלקה** — פני שטח הטיח הפנימי גסים ולא חלקים כנדרש. מקשה על צביעה אחידה ופוגע במראה הסופי.. המלצה: ליטוש מכני של המשטח, מריחת שכבת החלקה דקה, וליטוש סופי. עלות משוערת: ₪30-₪60 (למ""ר)"
