category,description,recommendation,standard,price
טיח ושפכטל,"סדקים בטיח חיצוני — סדקים באורכים ובעומקים שונים בשכבת הטיח החיצוני של הבניין. סדקים אלו עלולים לאפשר חדירת מים ורטיבות לתוך המבנה, ולפגוע באיטום ובבידוד התרמי","ניקוי והרחבת הסדק, מילוי בחומר גמיש מתאים (אקרילי או פוליאורטני), וציפוי מחדש בטיח בהתאם למפרט","ת""י 1415 — תקן טיח לבניינים — סדקים ברוחב מעל 0.5 מ""מ בטיח חיצוני אינם מותרים",₪ 150
טיח ושפכטל,"סדקים בטיח פנימי — סדקים בטיח הפנימי של הדירה, לרוב מופיעים ליד פינות חלונות, דלתות ומשקופים. עלולים להעיד על בעיות מבניות או התכווצות של הטיח","הרחבת הסדק עד לגילוי חומר תקין, מילוי בשפכטל גמיש, הדבקת רשת טיח, טיוח מחדש והחלקה","ת""י 1415 — סדקים ברוחב מעל 0.3 מ""מ בטיח פנימי אינם מותרים",₪ 120
טיח ושפכטל,נפיחות בטיח — בלון — אזורים בהם הטיח מתנפח ונפרד מהקיר (בלון טיח). בבדיקת הקשה ניתן לזהות צליל חלול. מעיד על הידבקות לקויה של שכבת הטיח למצע,"פירוק הטיח המנופח עד לגילוי מצע יציב, ניקוי והרטבת המשטח, טיוח מחדש בשכבות בהתאם למפרט","ת""י 1415 — הטיח חייב להיצמד באופן מלא למשטח הבסיס ללא חללים",₪ 180
טיח ושפכטל,"טיח מתפורר — שכבת הטיח מתפוררת ונושרת בחלקים. מעיד על שימוש בחומר לקוי, יחס מים-מלט לא נכון, או חשיפה לתנאי מזג אוויר קיצוניים","הסרה מלאה של הטיח הפגום, הכנת המשטח מחדש כולל יישום פריימר, טיוח מחדש בחומר תקני","ת""י 1415 — חוזק הטיח צריך לעמוד בדרישות המינימום של 2.5 מגה-פסקל לטיח פנימי ו-5 מגה-פסקל לטיח חיצוני",₪ 200
טיח ושפכטל,"חוסר מישוריות בטיח — משטח הטיח אינו ישר ואינו חלק — נראים גלים, בליטות או שקעים. ניתן לבדוק על ידי הצמדת סרגל ישר באורך 2 מ' לקיר","החלקה מחדש של האזורים הבעייתיים על ידי הוספת שכבת טיח דקה וליטוש, או שפכטל והחלקה","ת""י 1415 — סטייה מקסימלית מותרת של 3 מ""מ לכל 2 מטר אורך בטיח פנימי רגיל, 2 מ""מ בטיח מוחלק",₪ 120
טיח ושפכטל,חוסר אנכיות בטיח — קיר הטיח אינו אנכי — סטייה ממישור אנכי. ניתן לזהות על ידי בדיקה עם פלס לייזר או פלס מים,תיקון על ידי הוספת שכבת טיח מיישרת או פירוק וטיוח מחדש במקרים חמורים,"ת""י 1415 — סטייה מאנכיות מותרת של עד 5 מ""מ לכל 3 מטר גובה",₪ 200
טיח ושפכטל,פינות טיח לא ישרות — פינות הקירות (זווית פנימית או חיצונית) אינן ישרות ו/או אינן בזווית 90 מעלות. בולט במיוחד בהצבת ריהוט ומטבח,"יישור הפינות באמצעות פסי פינה מתכתיים וטיוח מחדש, או תיקון נקודתי בשפכטל","ת""י 1415 — סטייה מותרת של עד 3 מ""מ לכל 2 מטר אורך בפינות",₪ 80
טיח ושפכטל,"טיח חסר בשליצים ופתחים — אזורים ללא טיח או עם טיח חלקי סביב שליצי חשמל, אינסטלציה, או פתחי חלונות ודלתות. מעיד על עבודה לא מושלמת","מילוי השליצים בטיט תיקון מתאים, יישום רשת טיח על האזור, וטיוח מלא של המשטח","ת""י 1415 — כל המשטחים חייבים להיות מכוסים בטיח באופן אחיד, כולל סביב פתחים ושליצים",₪ 350
טיח ושפכטל,"רטיבות בטיח — כתמי רטיבות — כתמי רטיבות הנראים על שכבת הטיח, לעיתים מלווים בעובש או צבע שונה. מעיד על חדירת מים מבחוץ או דליפה פנימית","איתור מקור הרטיבות ותיקונו, ייבוש הקיר, טיפול אנטי-עובשי, טיוח מחדש עם חומר עמיד ברטיבות","ת""י 1415 — טיח חיצוני חייב להוות מחסום מפני חדירת מים",₪ 600
טיח ושפכטל,סדק אלכסוני מעל משקוף — סדק אלכסוני היוצא מפינת משקוף דלת או חלון כלפי מעלה. ליקוי נפוץ מאוד המעיד על חוסר חיזוק מתאים (רשת או קורת משקוף) באזור הפתח,"הרחבת הסדק, הדבקת רשת פיברגלס על כל אורך הסדק ומעבר, טיוח מחדש והחלקה","ת""י 1415 — יש לחזק את אזורי הפתחים ברשת טיח או חיזוק מתאים למניעת סדקים",₪ 350
